Area,BHK,Bathroom,Furnishing,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
270,2,1,Semi-Furnished,Budh Vihar,1,Ready_to_move,Resale,Apartment,5185,1400000
270,1,1,Semi-Furnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,11111,2300000
270,1,1,Unfurnished,Patel Nagar,2,Ready_to_move,Resale,Builder_Floor,11556,1700000
300,1,1,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6333,1900000
312,4,4,Furnished,Laxmi Nagar,1,Ready_to_move,Resale,Apartment,112179,35000000
324,6,3,Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,35714,8700000
344.4448,2,2,Semi-Furnished,Rohini,1,Ready_to_move,Resale,Builder_Floor,6154,3310000
345,1,1,Semi-Furnished,Karol Bagh,1,Ready_to_move,Resale,Builder_Floor,125984,5500000
350,1,1,Unfurnished,Dilshad Garden,1,Ready_to_move,Resale,Apartment,9375,3000000
350,1,1,Unfurnished,Dilshad Garden,1,Ready_to_move,Resale,Apartment,12000,4200000
350,1,1,Unfurnished,Narela,39,Ready_to_move,Resale,Apartment,5128,3000000
350,1,1,Unfurnished,Narela,39,Ready_to_move,Resale,Apartment,4571,1600000
350,1,1,Semi-Furnished,Narela,1,Ready_to_move,Resale,Builder_Floor,5143,1800000
350,1,1,Unfurnished,Narela,3,Ready_to_move,Resale,Apartment,7143,2500000
350,1,1,Unfurnished,Narela,1,Ready_to_move,New_Property,Apartment,4270,1490000
350,1,1,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Builder_Floor,,2300000
350,1,1,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,5714,2000000
350,1,1,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,6714,2400000
360,2,1,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,New_Property,Apartment,42222,2200000
360,1,1,Semi-Furnished,Manglapuri,1,Ready_to_move,Resale,Builder_Floor,4167,1500000
360,1,1,Unfurnished,Narela,1,Ready_to_move,Resale,Apartment,5000,1800000
360,2,1,Unfurnished,Shahdara,1,Ready_to_move,New_Property,Builder_Floor,6526,1550000
360,1,1,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6111,1700000
360,1,1,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6584,2000000
360,1,1,Unfurnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,6944,2500000
365,1,1,Unfurnished,Narela,39,Ready_to_move,Resale,Apartment,7143,3500000
370,1,1,Unfurnished,Dilshad Garden,2,Ready_to_move,Resale,Builder_Floor,6486,2400000
376.7365,1,1,Semi-Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,New_Property,Apartment,85715,3000000
378,1,2,Unfurnished,Narela,2,Ready_to_move,Resale,Apartment,,1500000
378,1,1,Unfurnished,Paschim Vihar,1,Ready_to_move,Resale,Apartment,13889,3200000
379,1,1,Unfurnished,Narela,1,Ready_to_move,Resale,Builder_Floor,4221,1600000
380,1,1,Unfurnished,Geeta Colony,1,Ready_to_move,Resale,Builder_Floor,6667,2200000
380,1,1,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,5789,2200000
387,1,2,Unfurnished,Laxmi Nagar,2,Ready_to_move,New_Property,Builder_Floor,32000,1700000
390,1,1,Unfurnished,Narela,39,Ready_to_move,Resale,Apartment,5128,2000000
400,1,1,Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,4000,2000000
400,1,1,Semi-Furnished,Dilshad Garden,1,Ready_to_move,Resale,Apartment,,3500000
400,1,1,Unfurnished,Dilshad Garden,1,Ready_to_move,Resale,Builder_Floor,7666,3600000
400,1,1,Semi-Furnished,Dwarka,1,Ready_to_move,New_Property,Builder_Floor,3524,1850000
400,2,1,Furnished,Krishna Nagar ,1,Ready_to_move,New_Property,Apartment,6667,2500000
405,2,3,Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,2500,6200000
405,1,1,Unfurnished,Dilshad Garden,1,Ready_to_move,Resale,Apartment,9200,2500000
405,1,1,Unfurnished,Kalkaji,1,Ready_to_move,Resale,Builder_Floor,,5600000
405,1,1,Unfurnished,Mehrauli,1,Ready_to_move,Resale,Apartment,3778,1500000
405,1,1,Semi-Furnished,Mehrauli,,Ready_to_move,New_Property,Apartment,,1500000
405,1,1,Furnished,Mehrauli,1,Ready_to_move,Resale,Apartment,3294,1800000
405,1,1,Semi-Furnished,Mehrauli,1,Ready_to_move,Resale,Apartment,3148,1600000
405,1,1,Unfurnished,Mehrauli,1,Ready_to_move,Resale,Builder_Floor,2963,1200000
405,1,1,Semi-Furnished,Paschim Vihar,1,Ready_to_move,Resale,Apartment,14722,4500000
405,2,1,Semi-Furnished,Patel Nagar,1,Ready_to_move,Resale,Apartment,1667,3950000
420,2,1,Semi-Furnished,Laxmi Nagar,1,Ready_to_move,New_Property,Builder_Floor,4040,2600000
420,1,1,Unfurnished,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,4922,2300000
425,1,1,Unfurnished,Narela,1,Ready_to_move,Resale,Apartment,5176,2200000
430,1,1,Unfurnished,Mahavir Enclave,1,Ready_to_move,New_Property,Builder_Floor,3778,1850000
430.556,1,1,Unfurnished,Dilshad Garden,1,Ready_to_move,Resale,Apartment,9375,4300000
430.556,1,1,Furnished,Rohini,2,Ready_to_move,Resale,Apartment,6154,5300000
437,1,1,Furnished,Narela,1,Ready_to_move,New_Property,Apartment,4270,3500000
440,2,2,Unfurnished,Shahdara,1,Ready_to_move,Resale,Apartment,6526,2700000
441,2,1,Unfurnished,Laxmi Nagar,1,Ready_to_move,Resale,Apartment,32000,3500000
444,2,2,Unfurnished,Budh Vihar,1,Ready_to_move,Resale,Apartment,4000,2000000
445,1,1,Unfurnished,Narela,1,Ready_to_move,Resale,Apartment,4221,1500000
445,2,1,Unfurnished,"Ram Nagar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,6526,2000000
445,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,7931,2800000
445,1,2,Semi-Furnished,Sultanpur Extension,1,Ready_to_move,Resale,Apartment,5222,1650000
450,1,1,Semi-Furnished,Alaknanda,1,Ready_to_move,Resale,Builder_Floor,12500,3000000
450,1,1,Semi-Furnished,Alaknanda,1,Ready_to_move,Resale,Builder_Floor,12500,3000000
450,1,1,Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,4444,2000000
450,2,2,Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,2500,4000000
450,2,1,Unfurnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,72000,3600000
450,1,1,Unfurnished,Dilshad Garden,,Ready_to_move,Resale,Apartment,,3300000
450,2,2,Unfurnished,Dwarka Mor,1,Ready_to_move,Resale,Builder_Floor,5794,2900000
450,2,2,,"Gandhi Nagar, Shahdara",,Ready_to_move,Resale,,58000,2900000
450,2,1,Unfurnished,Laxmi Nagar,2,Ready_to_move,Resale,Apartment,32000,2500000
450,1,2,Unfurnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,,2700000
450,2,1,Semi-Furnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,7778,3500000
450,2,1,Semi-Furnished,Laxmi Nagar,2,Ready_to_move,New_Property,Builder_Floor,7778,2700000
450,2,1,Semi-Furnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,7778,3500000
450,2,2,Semi-Furnished,Laxmi Nagar,1,Ready_to_move,New_Property,Builder_Floor,5666,2550000
450,1,1,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,New_Property,Builder_Floor,,2500000
450,1,1,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,New_Property,Builder_Floor,4922,2100000
450,2,1,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,Resale,Apartment,3778,1700000
450,1,1,Unfurnished,Mehrauli,1,Ready_to_move,Resale,Apartment,3667,1650000
450,1,1,Unfurnished,Mehrauli,1,Ready_to_move,New_Property,Builder_Floor,3294,1700000
450,1,1,Furnished,Mehrauli,1,Ready_to_move,Resale,Apartment,3778,1700000
450,1,1,Furnished,Narela,2,Ready_to_move,Resale,Apartment,4889,2200000
450,1,1,Semi-Furnished,"New Manglapuri, Sultanpur",1,Ready_to_move,Resale,Apartment,5222,2350000
450,1,1,Semi-Furnished,Okhla,1,Ready_to_move,New_Property,Builder_Floor,25512,1700000
450,1,1,Unfurnished,"Panchsheel Vihar, Sheikh Sarai",1,Ready_to_move,New_Property,Apartment,10556,2200000
450,2,2,Semi-Furnished,Paschim Vihar,1,Ready_to_move,Resale,Builder_Floor,,5000000
450,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,6714,3800000
450,2,1,Unfurnished,"Seelampur, Shahdara",,Ready_to_move,Resale,Apartment,13333,6000000
450,1,1,Unfurnished,Sultanpur,1,Ready_to_move,New_Property,Builder_Floor,3714,2000000
450,2,1,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6111,1850000
452.0838,2,1,Furnished,Narela,1,Ready_to_move,Resale,Apartment,6636,3000000
459,2,2,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,43137,2200000
460,2,1,Unfurnished,Dilshad Garden,2,Ready_to_move,Resale,Builder_Floor,8640,3300000
464,3,1,Unfurnished,Punjabi Bagh,1,Ready_to_move,Resale,Builder_Floor,15278,4200000
468,2,2,Unfurnished,Karol Bagh,1,Ready_to_move,Resale,Builder_Floor,8761,4100000
495,2,2,Unfurnished,Narela,1,Ready_to_move,Resale,Builder_Floor,4270,1750000
495,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6111,2150000
495.1394,1,1,Furnished,Shahdara,1,Ready_to_move,Resale,Builder_Floor,41304,1900000
500,2,2,Semi-Furnished,Budh Vihar,1,Ready_to_move,Resale,Apartment,3300,1650000
500,2,1,Semi-Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,4000,2000000
500,2,1,Semi-Furnished,Chhattarpur,2,Ready_to_move,Resale,Apartment,4138,7000000
500,1,1,Semi-Furnished,Dilshad Garden,1,Ready_to_move,Resale,Builder_Floor,5200,2600000
500,2,1,Furnished,Dilshad Garden,1,Ready_to_move,Resale,Apartment,12000,5800000
500,2,2,Semi-Furnished,Dwarka Mor,1,Ready_to_move,New_Property,Builder_Floor,6111,3200000
500,2,2,Semi-Furnished,Kalkaji,1,Ready_to_move,New_Property,Builder_Floor,,3300000
500,2,1,Semi-Furnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,32000,3700000
500,2,2,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,Resale,Apartment,4922,3200000
500,1,1,Unfurnished,Malviya Nagar,2,Ready_to_move,Resale,Apartment,14888,2300000
500,1,2,Semi-Furnished,Mehrauli,1,Ready_to_move,Resale,Apartment,4200,2100000
500,1,1,Unfurnished,Narela,39,Ready_to_move,Resale,Apartment,3600,1800000
500,1,1,Furnished,"New Manglapuri, Sultanpur",1,Ready_to_move,Resale,Builder_Floor,3714,2350000
500,1,1,Semi-Furnished,Rohini,1,Ready_to_move,Resale,Apartment,8750,3400000
504,3,1,Semi-Furnished,"Seelampur, Shahdara",,Ready_to_move,Resale,Apartment,7143,3600000
504,2,1,Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,5357,2700000
527,2,2,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,,3500000
530,4,1,Semi-Furnished,Karol Bagh,1,Ready_to_move,Resale,Apartment,14776,6800000
535,2,1,Furnished,Karol Bagh,1,Ready_to_move,New_Property,Apartment,7290,3900000
540,2,2,Semi-Furnished,Dwarka Mor,1,Ready_to_move,New_Property,Apartment,5000,3000000
540,2,2,Semi-Furnished,Dwarka Mor,1,Ready_to_move,New_Property,Apartment,5000,3000000
540,2,2,Semi-Furnished,Dwarka Mor,1,Ready_to_move,New_Property,Apartment,5000,3000000
540,5,2,,"Gandhi Nagar, Shahdara",,Ready_to_move,Resale,,58000,17000000
540,2,1,Unfurnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,11667,3500000
540,1,1,Unfurnished,Mehrauli,1,Ready_to_move,Resale,Builder_Floor,3148,1700000
540,2,1,Unfurnished,New Friends Colony,2,Ready_to_move,Resale,Builder_Floor,2778,1500000
540,2,1,Semi-Furnished,Okhla,1,Ready_to_move,New_Property,Builder_Floor,25512,3600000
540,1,1,Unfurnished,Safdarjung Enclave,1,Ready_to_move,Resale,Builder_Floor,14818,3000000
540,1,1,Unfurnished,Sultanpur Extension,1,Ready_to_move,Resale,Apartment,3714,2350000
540,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Apartment,6111,3300000
540,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Apartment,6111,3300000
540,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Apartment,6111,3300000
540,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,,2650000
540,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6584,2500000
540,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6111,2600000
540,2,1,Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,New_Property,Apartment,5000,2700000
550,2,2,Unfurnished,Laxmi Nagar,2,Ready_to_move,New_Property,Builder_Floor,32000,3600000
550,2,2,Unfurnished,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,3778,2300000
550,2,2,Semi-Furnished,Malviya Nagar,2,Ready_to_move,Resale,Builder_Floor,14888,10700000
550,2,1,Semi-Furnished,Okhla,2,Ready_to_move,Resale,Apartment,2778,1600000
550,2,2,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Builder_Floor,6154,4500000
550,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6364,3500000
550,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,5794,2600000
550,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6584,1900000
550,2,1,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,5794,2000000
550,1,2,Furnished,Vasant Kunj,1,Ready_to_move,Resale,Apartment,20833,7500000
558,2,1,Unfurnished,Shahdara,1,Ready_to_move,New_Property,Builder_Floor,6526,2900000
559.7228,2,2,Furnished,Narela,3,Ready_to_move,Resale,Apartment,5092,2850000
565,2,2,Unfurnished,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,5820,3500000
576,2,2,Unfurnished,"Prasad Nagar, Karol Bagh",1,Ready_to_move,Resale,Apartment,14815,5000000
580,1,1,Semi-Furnished,Chhattarpur,1,Ready_to_move,New_Property,Builder_Floor,4138,1600000
585,2,2,Unfurnished,Narela,1,Ready_to_move,Resale,Builder_Floor,3248,1900000
585,2,2,Unfurnished,Paschim Vihar,2,Ready_to_move,Resale,Apartment,14722,7000000
585,2,2,Semi-Furnished,"Savitri Nagar Village, Sheikh Sarai",1,Ready_to_move,Resale,Builder_Floor,,4000000
585,2,2,Unfurnished,Uttam Nagar,1,Ready_to_move,Resale,Builder_Floor,5794,3200000
588,2,2,Unfurnished,Okhla,2,Ready_to_move,New_Property,Apartment,10320,1800000
594,2,1,Semi-Furnished,Paschim Vihar,1,Ready_to_move,Resale,Apartment,10943,6500000
600,2,2,Semi-Furnished,Lajpat Nagar,1,Ready_to_move,New_Property,Builder_Floor,,11500000
600,2,2,Unfurnished,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,11667,7000000
600,2,2,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,New_Property,Apartment,,3000000
600,2,1,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,Resale,Apartment,4922,3000000
600,2,2,Unfurnished,Mehrauli,1,Ready_to_move,Resale,Builder_Floor,5333,3200000
600,2,2,Semi-Furnished,Rohini,1,Ready_to_move,Resale,Builder_Floor,6667,4200000
600,2,2,Semi-Furnished,Safdarjung Enclave,1,Ready_to_move,Resale,Builder_Floor,14818,4700000
600,3,2,Semi-Furnished,"Savitri Nagar Village, Sheikh Sarai",1,Ready_to_move,Resale,Builder_Floor,10556,8000000
600,1,1,Unfurnished,Sheikh Sarai,2,Ready_to_move,New_Property,Apartment,10556,7000000
600,2,2,Unfurnished,Sultanpur,1,Ready_to_move,Resale,Apartment,3444,4500000
600,1,2,Unfurnished,Vasant Kunj,2,Ready_to_move,New_Property,Apartment,20833,7000000
600,1,1,Semi-Furnished,Vasant Kunj,1,Ready_to_move,New_Property,Apartment,,8000000
620,2,2,Semi-Furnished,Uttam Nagar,1,Ready_to_move,New_Property,Builder_Floor,6111,3100000
630,2,2,Unfurnished,Chhattarpur,1,Ready_to_move,Resale,Apartment,,2800000
630,2,2,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Builder_Floor,6154,5500000
630,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6508,4100000
630,2,2,Semi-Furnished,Sheikh Sarai,1,Ready_to_move,Resale,Builder_Floor,65714,4600000
630,3,2,Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,35714,22500000
650,2,2,Semi-Furnished,Chhattarpur,1,Ready_to_move,Resale,Builder_Floor,,2500000
650,2,2,Unfurnished,Dilshad Garden,1,Ready_to_move,Resale,Builder_Floor,,6500000
650,3,2,Unfurnished,Malviya Nagar,3,Ready_to_move,Resale,Builder_Floor,14888,4200000
650,2,2,Semi-Furnished,"Mansarowar Park, Shahdara",1,Ready_to_move,Resale,Apartment,6526,5800000
650,2,2,Semi-Furnished,Mehrauli,,Ready_to_move,Resale,Apartment,,2750000
650,2,2,Unfurnished,"Panchsheel Vihar, Sheikh Sarai",1,Ready_to_move,Resale,Apartment,15882,3800000
650,2,2,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Apartment,6154,4000000
650,2,2,Semi-Furnished,Rohini,1,Ready_to_move,Resale,Builder_Floor,6154,6000000
650,2,2,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Builder_Floor,6667,6200000
650,1,2,Semi-Furnished,Vasant Kunj,1,Ready_to_move,Resale,Apartment,15500,7400000
660,2,2,Semi-Furnished,Rohini,1,Ready_to_move,Resale,Builder_Floor,6154,5000000
660,2,2,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Builder_Floor,6154,4700000
666,1,2,Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,5255,3500000
675,2,2,Semi-Furnished,Chhattarpur,1,Ready_to_move,New_Property,Builder_Floor,,2800000
675,2,2,Semi-Furnished,Karol Bagh,1,Ready_to_move,Resale,Builder_Floor,14815,10000000
675,2,2,Furnished,Laxmi Nagar,2,Ready_to_move,Resale,Builder_Floor,32000,2400000
675,2,1,Unfurnished,Mehrauli,,Ready_to_move,Resale,Builder_Floor,3259,2200000
675,2,2,Unfurnished,Okhla,1,Ready_to_move,Resale,Builder_Floor,5556,3100000
675,2,1,Unfurnished,Shahdara,1,Ready_to_move,Resale,Apartment,6526,3300000
675,2,1,Unfurnished,Uttam Nagar,1,Ready_to_move,Resale,Builder_Floor,5794,2900000
675,4,2,Furnished,"Yamuna Vihar, Shahdara",2,Ready_to_move,Resale,Builder_Floor,35714,18500000
675,4,3,Furnished,"Yamuna Vihar, Shahdara",2,Ready_to_move,Resale,Builder_Floor,22857,16000000
680,3,2,Semi-Furnished,Dwarka Mor,1,Ready_to_move,New_Property,Builder_Floor,6111,3400000
680,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6471,4400000
700,2,2,Unfurnished,Alaknanda,,Ready_to_move,Resale,Apartment,,16500000
700,2,2,Unfurnished,Alaknanda,,Ready_to_move,Resale,Apartment,,16500000
700,2,2,Semi-Furnished,Chhattarpur,1,Ready_to_move,New_Property,Builder_Floor,4138,3000000
700,2,1,Semi-Furnished,Dwarka,1,Almost_ready,New_Property,Apartment,3524,2400000
700,2,2,Semi-Furnished,Kalkaji,1,Ready_to_move,New_Property,Builder_Floor,,3800000
700,2,2,Semi-Furnished,"Khanpur, Madangir",1,Ready_to_move,New_Property,Builder_Floor,18750,2400000
700,2,2,Semi-Furnished,"Khanpur, Madangir",1,Ready_to_move,New_Property,Builder_Floor,18750,2400000
700,2,2,Semi-Furnished,Malviya Nagar,1,Ready_to_move,Resale,Apartment,14888,9000000
700,2,2,Semi-Furnished,"New Manglapuri, Sultanpur",1,Ready_to_move,Resale,Builder_Floor,3714,3500000
700,2,2,Unfurnished,"Ram Nagar, Shahdara",,Ready_to_move,New_Property,Builder_Floor,,4600000
700,3,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6714,4700000
700,2,2,Unfurnished,Safdarjung Enclave,1,Ready_to_move,Resale,Builder_Floor,14818,15000000
700,2,2,Semi-Furnished,Shahdara,1,Ready_to_move,Resale,Apartment,6667,2500000
700,2,2,Semi-Furnished,Sultanpur Extension,1,Ready_to_move,Resale,Builder_Floor,3714,2600000
700,2,1,Furnished,"Yamuna Vihar, Shahdara",2,Ready_to_move,New_Property,Builder_Floor,22857,16000000
702,3,2,Semi-Furnished,"New Moti Nagar, Kirti Nagar",2,Ready_to_move,Resale,Apartment,10838,14200000
710,2,2,Unfurnished,Mahavir Enclave,1,Ready_to_move,Resale,Apartment,4922,2900000
713,2,2,Semi-Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,New_Property,Builder_Floor,4444,6000000
713,3,1,Unfurnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Apartment,11220,8000000
715,2,2,Unfurnished,Laxmi Nagar,1,Ready_to_move,Resale,Apartment,5666,5600000
720,2,2,Unfurnished,Kalkaji,2,Ready_to_move,Resale,Builder_Floor,,4700000
720,2,2,Unfurnished,Kalkaji,1,Almost_ready,New_Property,Builder_Floor,18000,5500000
720,2,1,Semi-Furnished,Karol Bagh,1,Ready_to_move,Resale,Builder_Floor,9722,7000000
720,3,3,Semi-Furnished,Laxmi Nagar,2,Ready_to_move,Resale,Builder_Floor,7778,5500000
720,3,2,Semi-Furnished,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,42222,4500000
720,3,2,Semi-Furnished,Rohini,1,Ready_to_move,New_Property,Builder_Floor,5255,6000000
720,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6528,4700000
720,3,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,6714,6500000
720,2,1,Unfurnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,5556,4000000
720,6,5,Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,35714,22000000
720,4,2,Furnished,"Yamuna Vihar, Shahdara",2,Ready_to_move,Resale,Builder_Floor,12500,9000000
725,2,2,Furnished,Chhattarpur,1,Ready_to_move,Resale,Apartment,4138,3000000
729,3,4,Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,3567,2600000
729,2,2,Semi-Furnished,Razapur Khurd,1,Ready_to_move,Resale,Builder_Floor,6584,4800000
747,2,2,Furnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,8701,6500000
750,2,2,Unfurnished,Chhattarpur,1,Ready_to_move,New_Property,Builder_Floor,4138,3500000
750,2,1,Semi-Furnished,Dilshad Garden,2,Ready_to_move,New_Property,Apartment,8640,6500000
750,2,1,Unfurnished,Dilshad Garden,,Ready_to_move,Resale,Apartment,,7350000
750,1,1,Furnished,Dwarka,2,Ready_to_move,Resale,Apartment,,4600000
750,2,2,Semi-Furnished,Lajpat Nagar,2,Ready_to_move,New_Property,Builder_Floor,9259,11500000
750,2,2,Semi-Furnished,Lajpat Nagar,1,Ready_to_move,New_Property,Builder_Floor,7000,16500000
750,2,2,Unfurnished,Lajpat Nagar,1,Ready_to_move,New_Property,Builder_Floor,,13600000
750,2,2,Unfurnished,Malviya Nagar,,Almost_ready,New_Property,Builder_Floor,,13000000
750,2,2,Unfurnished,Malviya Nagar,2,Almost_ready,New_Property,Builder_Floor,14888,11500000
750,2,2,Semi-Furnished,Okhla,1,Ready_to_move,Resale,Builder_Floor,10320,3800000
750,3,2,Semi-Furnished,Okhla,1,Ready_to_move,Resale,Builder_Floor,2778,2400000
750,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,Apartment,6667,5000000
